         1240882520 function calls (1240874123 primitive calls) in 692.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 54009963   97.405    0.000   97.405    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 26914803   82.583    0.000  137.682    0.000 blas.py:297(_get_funcs)
 27004800   54.889    0.000  157.208    0.000 numeric.py:2389(array_equal)
161758929   52.624    0.000   64.803    0.000 numeric.py:433(asarray)
 53829600   44.459    0.000  146.823    0.000 distance.py:319(_validate_vector)
 53829608   44.432    0.000   76.173    0.000 shape_base.py:11(atleast_1d)
 26914800   39.885    0.000  481.037    0.000 distance.py:438(minkowski)
 26914800   37.291    0.000  106.959    0.000 function_base.py:398(asarray_chkfinite)
   180000   36.506    0.000  686.199    0.004 DBCV.py:36(_core_dist)
 26914800   36.204    0.000  294.329    0.000 misc.py:19(norm)
 53927266   23.911    0.000   23.911    0.000 {built-in method builtins.getattr}
 53829989   18.092    0.000   21.898    0.000 numeric.py:504(asanyarray)
 53919600   17.708    0.000  127.933    0.000 {method 'all' of 'numpy.ndarray' objects}
 26914803   17.468    0.000   20.470    0.000 blas.py:236(find_best_blas_type)
215589349   15.989    0.000   15.989    0.000 {built-in method numpy.core.multiarray.array}
 53919639   13.716    0.000  110.225    0.000 _methods.py:45(_all)
 26914803   13.484    0.000  151.166    0.000 blas.py:343(get_blas_funcs)
 26914800   13.091    0.000  494.128    0.000 distance.py:562(euclidean)
 80896367    9.227    0.000    9.227    0.000 {method 'append' of 'list' objects}
 53831639    6.607    0.000    6.607    0.000 {method 'get' of 'dict' objects}
 53829600    5.444    0.000    5.444    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
53861704/53861524    4.530    0.000    4.530    0.000 {built-in method builtins.len}
 26925313    3.286    0.000    3.286    0.000 {built-in method builtins.isinstance}
   180000    1.648    0.000    2.095    0.000 DBCV.py:244(_get_label_members)
    90194    0.475    0.000    1.461    0.000 fromnumeric.py:64(_wrapreduction)
   180006    0.447    0.000    0.447    0.000 {built-in method numpy.core.multiarray.where}
        1    0.425    0.425  692.399  692.399 DBCV.py:91(_mutual_reach_dist_graph)
    90000    0.265    0.000  689.863    0.008 DBCV.py:63(_mutual_reachability_dist)
    90004    0.175    0.000    1.635    0.000 fromnumeric.py:2227(amax)
   360003    0.121    0.000    0.121    0.000 fromnumeric.py:1656(shape)
      529    0.036    0.000    0.036    0.000 {built-in method marshal.loads}
    777/1    0.033    0.000  692.796  692.796 {built-in method builtins.exec}
   114/98    0.026    0.000    0.042    0.000 {built-in method _imp.create_dynamic}
    90748    0.024    0.000    0.024    0.000 {method 'items' of 'dict' objects}
      305    0.017    0.000    0.042    0.000 doccer.py:12(docformat)
1283/1278    0.015    0.000    0.037    0.000 {built-in method builtins.__build_class__}
        2    0.009    0.004    0.012    0.006 {scipy.sparse.csgraph._shortest_path.dijkstra}
     1067    0.008    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     2515    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     7475    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
      310    0.006    0.000    0.011    0.000 doccer.py:172(indentcount_lines)
        1    0.006    0.006    0.006    0.006 {method 'argsort' of 'numpy.ndarray' objects}
      529    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:816(get_data)
  744/743    0.004    0.000    0.044    0.000 <frozen importlib._bootstrap>:879(_find_spec)
    11367    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      529    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      529    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
     7464    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
    14223    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     5486    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     5486    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        2    0.003    0.002    0.003    0.002 {method 'write' of '_io.TextIOWrapper' objects}
       10    0.003    0.000    0.011    0.001 _k_means_elkan.pyx:106(__pyx_fuse_1k_means_elkan)
      351    0.003    0.000    0.006    0.000 inspect.py:2065(_signature_from_function)
      529    0.003    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:729(get_code)
      747    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0xa3ee00}
     1058    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
    775/4    0.003    0.000    0.359    0.090 <frozen importlib._bootstrap>:966(_find_and_load)
     1383    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
